23	0	1	18	0	3	10	0	0	7	0	15	9	17	20	0	0	2	11	6	0	14	8	0	24	 
7	0	0	0	0	17	0	4	1	0	0	0	0	5	0	3	21	14	0	20	0	0	0	22	6 	  
8	0	14	15	0	0	9	22	0	0	24	23	0	0	21	25	18	1	13	4	17	0	0	0	0 	
20	11	0	0	6	0	24	0	5	0	22	0	1	13	4	0	12	0	16	0	23	18	25	0	0 	
0	22	0	17	25	0	0	19	0	2	10	0	14	18	0	0	0	15	0	0	0	0	0	11	0 	
0	18	0	0	12	20	21	15	6	5	0	0	0	0	0	19	0	0	0	0	0	25	11	0	16 	
3	0	11	4	8	0	0	0	0	0	0	0	20	14	0	16	6	0	5	0	0	0	0	0	22 	
21	0	0	0	10	0	0	0	16	0	0	0	24	0	0	0	0	17	0	14	5	0	20	9	0 	
25	16	6	0	20	0	0	18	0	0	0	0	0	0	0	15	0	9	0	0	0	0	2	0	12 	
14	0	22	0	15	2	0	0	25	0	16	19	0	0	0	11	24	0	0	0	0	0	13	10	0 	
18	23	7	0	0	0	0	13	14	0	25	0	0	21	6	0	16	22	0	0	1	2	0	0	0 	
0	24	25	20	1	0	0	0	18	3	0	0	22	23	2	5	13	7	0	0	0	21	0	0	0 	
10	14	15	0	2	0	12	0	0	0	0	0	5	0	0	0	0	0	8	0	9	0	19	6	18 	
0	0	0	6	0	0	0	1	15	22	18	4	19	0	0	21	2	0	0	0	7	10	24	12	0 	
0	0	0	3	21	0	0	6	2	0	1	20	0	0	14	0	10	19	0	0	0	0	5	25	13 	
0	25	20	0	0	0	0	0	24	4	0	0	0	1	10	0	23	0	0	16	2	0	12	0	8 	
2	0	13	0	0	0	0	16	0	21	0	0	0	0	0	0	0	4	0	0	6	0	23	19	15 	
0	7	18	0	14	12	0	23	0	0	0	0	6	0	0	0	11	0	0	0	10	0	0	0	20 	
9	0	0	0	0	0	19	0	8	18	0	16	2	0	0	0	0	0	0	0	25	13	22	0	7 	
1	0	12	16	0	0	0	0	0	10	0	0	0	0	0	8	20	21	2	18	11	0	0	14	0 	
0	20	0	0	0	0	0	12	0	0	0	21	25	0	23	1	0	13	0	0	15	4	0	2	0 	
0	0	19	14	22	0	15	0	9	0	12	24	11	0	17	0	25	0	3	0	20	0	0	13	23 	
0	0	0	0	7	4	23	17	21	1	13	0	0	10	5	0	0	12	20	0	0	8	9	0	25 	
5	2	0	0	0	18	0	20	7	19	0	3	0	0	0	0	9	23	0	15	0	0	0	0	10 	
15	0	23	25	0	14	13	24	0	0	2	9	18	20	0	6	0	0	7	11	0	19	17	0	5 	
